StaticDoDoubleG,2023-06-14 01:36:50,최종 커밋 2트
dowon03,2023-06-14 01:26:54,검사로 인한 수정
StaticDoDoubleG,2023-06-13 23:27:05,최종커밋
dowon03,2023-06-13 23:04:28,Merge branch 'main' of https://github.com/dowon03/ReservationProject
dowon03,2023-06-13 23:04:08,수정
StaticDoDoubleG,2023-06-13 23:00:40,파일 읽기 문제 해결
dowon03,2023-06-13 22:44:39,ReservationProgram 오류 수정
StaticDoDoubleG,2023-06-13 22:08:06,제출용 폴더 생성
StaticDoDoubleG,2023-06-13 21:53:24,종합수정 3
StaticDoDoubleG,2023-06-13 21:51:21,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-13 21:51:08,종합수정 2
dowon03,2023-06-13 21:47:17,수정
StaticDoDoubleG,2023-06-13 21:38:11,종합수정
StaticDoDoubleG,2023-06-13 21:14:58,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-13 21:14:55,AdminProgram 최종본 및 테스트케이스
dowon03,2023-06-13 21:11:46,수정++
dowon03,2023-06-13 21:04:17,수정+
dowon03,2023-06-13 21:03:02,일부 버그 수정
StaticDoDoubleG,2023-06-13 20:31:00,형식 수정
StaticDoDoubleG,2023-06-13 19:59:18,TEST CASE of AdminProgram
지야,2023-06-13 04:29:14,Update main.java
지야,2023-06-13 01:11:05,DBManager 수정
지야,2023-06-13 01:07:44,Update main.java
yeon,2023-06-12 17:43:09,bufferedWriter
StaticDoDoubleG,2023-06-12 17:42:03,Integrated Test Field
StaticDoDoubleG,2023-06-12 17:41:04,최신화
StaticDoDoubleG,2023-06-12 17:34:46,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-12 17:34:43,Admin Program 검사 전 최종본
유링게슝,2023-06-12 16:37:16,TestField 업로드
유링게슝,2023-06-12 16:36:51,Create README
StaticDoDoubleG,2023-06-12 16:26:48,Reservation Program module-info.java 복원
StaticDoDoubleG,2023-06-12 16:17:58,로그인 프롬프트 오류 수정
yeon,2023-06-12 15:48:14,PersonalDataModification 수정 (가상 잔액)
StaticDoDoubleG,2023-06-12 12:22:12,Admin Program 검사 전 최종본
dowon03,2023-06-11 22:33:31,이도원 vol7
dowon03,2023-06-11 16:36:21,이도원 vol7
StaticDoDoubleG,2023-06-10 18:17:18,계정 정보 수정 후 로그인 안되는 오류와 1차에 고치치 못했던 이름 테스트케이스 오류 부분 수정
StaticDoDoubleG,2023-06-10 16:50:25,임시 커밋
StaticDoDoubleG,2023-06-10 16:42:43,임시 커밋
StaticDoDoubleG,2023-06-10 16:37:08,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-10 16:36:11,임시 커밋
dowon03,2023-06-10 16:33:44,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-10 16:33:43,임시 커밋
dowon03,2023-06-10 16:30:17,이도원 vol 6 (초안 완성)
StaticDoDoubleG,2023-06-10 16:29:53,임시 커밋
StaticDoDoubleG,2023-06-08 23:20:19,ReservationAccessor 완성
StaticDoDoubleG,2023-06-08 17:48:59,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-08 17:48:56,AdminProgram 추가 수정 사항
yeon,2023-06-08 13:11:50,AccountData, ADFManager 수정
StaticDoDoubleG,2023-06-07 23:43:48,AdminAccessor 비밀번호 관련 부분 수정
StaticDoDoubleG,2023-06-07 23:36:50,ReservationProgram 기본 수정 사항
유링게슝,2023-06-07 22:14:21,Update README
StaticDoDoubleG,2023-06-07 22:09:45,Consistency Patch
StaticDoDoubleG,2023-06-07 21:50:51,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-07 21:50:46,AccountAccessor 구현 완료
유링게슝,2023-06-07 19:18:36,Update README
StaticDoDoubleG,2023-06-07 19:17:24,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-07 19:17:21,RestaurantAccessor 구현 완료
유링게슝,2023-06-07 11:39:21,Update README
StaticDoDoubleG,2023-06-07 11:37:45,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-07 11:37:43,AdminAccessor 구현 완료
유링게슝,2023-06-07 10:47:13,Update README
StaticDoDoubleG,2023-06-07 10:45:47,LoginProcess 완성
StaticDoDoubleG,2023-06-07 10:37:18,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-07 10:37:15,LoginProcess 수정 06/07
유링게슝,2023-06-07 10:08:20,README
yaoyutong1,2023-06-06 15:25:45,Update MyReservation.java
dowon03,2023-06-06 01:37:16,이도원 ReservationCancel 수정 완료 외 (vol 5)
dowon03,2023-06-06 01:13:42,ReservationProgram에 대한 수정사항 복구
dowon03,2023-06-06 01:01:30,Merge branch 'main' of https://github.com/dowon03/ReservationProject
dowon03,2023-06-06 01:01:09,AdminProgram 복구
StaticDoDoubleG,2023-06-06 00:59:46,Revert "Merge branch 'main' of https://github.com/dowon03/ReservationProject"
StaticDoDoubleG,2023-06-06 00:59:41,Revert "복원"
StaticDoDoubleG,2023-06-06 00:58:03,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-06 00:57:57,복원
dowon03,2023-06-06 00:46:45,이도원 vol4
dowon03,2023-06-05 19:53:18,이도원 Reservation 수정 초안 완성 외 (vol 3)
dowon03,2023-06-05 19:38:00,이도원 Reservation에 대한 수정 외 (vol 2)
dowon03,2023-06-05 17:47:16,이도원 파트 신규 클래스에 대한 수정(vol 1)
StaticDoDoubleG,2023-06-05 15:58:42,Commit
dowon03,2023-06-05 15:50:09,Merge branch 'main' of https://github.com/dowon03/ReservationProject
dowon03,2023-06-05 15:50:05,...
StaticDoDoubleG,2023-06-05 15:48:34,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-05 15:48:23,Commit
dowon03,2023-06-05 15:47:41,Merge branch 'main' of https://github.com/dowon03/ReservationProject
dowon03,2023-06-05 15:47:27,...
StaticDoDoubleG,2023-06-05 15:46:55,Merge branch 'main' of https://github.com/dowon03/ReservationProject
StaticDoDoubleG,2023-06-05 15:45:05,Commit
dowon03,2023-06-05 15:42:58,불필요한 파일 삭제
StaticDoDoubleG,2023-06-05 15:35:10,Update With Project Files
StaticDoDoubleG,2023-06-04 14:05:21,Restore
StaticDoDoubleG,2023-06-04 13:49:53,Create README.md
StaticDoDoubleG,2023-06-04 13:47:31,StaffProgram 폴더 생성
StaticDoDoubleG,2023-06-04 13:46:07,ReservationProgram 폴더 생성
StaticDoDoubleG,2023-06-04 13:45:14,AdminProgram 폴더 생성
StaticDoDoubleG,2023-06-01 13:53:55,AdminProgram
dowon03,2023-06-01 13:52:55,Delete ReservationAccessor.java
dowon03,2023-06-01 13:52:45,Delete ReservationData.java
StaticDoDoubleG,2023-06-01 13:52:38,Delete ReservationCancel.java
dowon03,2023-06-01 13:52:35,Delete ReservationDataFileManager.java
